word,pos,cefr_level,uzbek_translation
bedroom,n.,A1,yotoqxona
beer,n.,A1,pivo
before,prep.,A1,…dan oldin
begin,v.,A1,boshlamoq
beginning,n.,A1,"boshi, boshlanishi"
behind,"prep., adv.",A1,"ort, orqa(da)/(ga)"
believe,v.,A1,"ishonmoq, inonmoq"
below,"adv., prep.",A1,past(da)/(ga)
best,adj.,A1,eng yaxshi
better,adj.,A1,yaxshiroq
between,prep.,A1,"o'rtasida, orasida"
bicycle,n.,A1,velosiped
big,adj.,A1,katta
bike,n.,A1,velosiped
bill,n.,A1,"chek, hisob"
bird,n.,A1,qush
birthday,n.,A1,tug'ilgan kun
black,"adj., n.",A1,qora
blog,n.,A1,blog
blond,adj.,A1,oq/sariq sochli
blue,"adj., n.",A1,moviy
boat,n.,A1,qayiq
body,n.,A1,tana
book,n.,A1,kitob
boot,n.,A1,etik
bored,adj.,A1,zerikkan
boring,adj.,A1,zerikarli
be born,v.,A1,tug'ilgan bo'lmoq
both,det./pron.,A1,ikkalasi (ham)
bottle,n.,A1,"shisha idish, butilka"
box,n.,A1,quti
boy,n.,A1,o'g'il bola
boyfriend,n.,A1,xushtor yigit
bread,n.,A1,non
break,"v., n.",A1,sindirmoq; tanaffus
breakfast,n.,A1,nonushta
bring,v.,A1,olib kelmoq
brother,n.,A1,"aka, uka"
brown,"adj., n.",A1,jigarrang
build,v.,A1,qurmoq
building,n.,A1,bino
bus,n.,A1,avtobus
business,n.,A1,biznes
busy,adj.,A1,band
but,conj.,A1,"ammo, lekin"
butter,n.,A1,saryog'
buy,v.,A1,sotib olmoq
by,prep.,A1,tomonidan
bye,exclam.,A1,xayr
cafe,n.,A1,qahvaxona
cake,n.,A1,tort
call,"v., n.",A1,qo'ng'iroq qilmoq; chaqiruv
camera,n.,A1,kamera
can,modal v.,A1,… qila olmoq
cannot,modal v.,A1,… qila olmaslik
capital,"n., adj.",A1,poytaxt; bosh (harf)
car,n.,A1,mashina
card,n.,A1,"karta, kartochka"
career,n.,A1,karyera
carrot,n.,A1,sabzi
carry,v.,A1,"ko'tarmoq, ko'tarib bormoq"
cat,n.,A1,mushuk
CD,n.,A1,CD disk
cent,n.,A1,sent
center,n.,A1,markaz
chair,n.,A1,stul
change,"v., n.",A1,o'zgar(tir)moq; o'zgarish
chart,n.,A1,"jadval, sxema"
cheap,adj.,A1,arzon
check,v.,A1,tekshirmoq
cheese,n.,A1,pishloq
chicken,n.,A1,"tovuq, jo'ja"
child,n.,A1,"bola, farzand"
chocolate,n.,A1,shokolad
choose,v.,A1,tanlamoq
city,n.,A1,shahar
class,n.,A1,"klass, sinf"
classroom,n.,A1,sinfxona
clean,"adj., v.",A1,toza; tozalamoq
climb,v.,A1,tirmashmoq
clock,n.,A1,soat
close,v.,A1,yopmoq
clothes,n.,A1,kiyim-kechaklar
club,n.,A1,"klub, to'garak"
coat,n.,A1,palto
coffee,n.,A1,qahva
cold,"adj., n.",A1,sovuq; shamollash
college,n.,A1,kollej
color,n.,A1,rang
come,v.,A1,kelmoq
common,adj.,A1,"umumiy, keng tarqalgan"
company,n.,A1,kompaniya
compare,v.,A1,taqqoslamoq
complete,"adj., v.",A1,to'liq; to'ldirmoq
computer,n.,A1,kompyuter
concert,n.,A1,konsert
conversation,n.,A1,suhbat
cook,v.,A1,pishirmoq
cooking,n.,A1,pishirish
cool,adj.,A1,salqin
correct,"adj., v.",A1,to'g'ri; to'g'rilamoq
cost,"n., v.",A1,narx; … narx turmoq
could,modal v.,A1,can modal fe'lining o'tgan zamon shakli
country,n.,A1,mamlakat
course,n.,A1,kurs
cousin,n.,A1,amakivacha
cow,n.,A1,sigir
cream,n.,A1,"qaymoq, krem"
create,v.,A1,yaratmoq
culture,n.,A1,madaniyat
cup,n.,A1,"finjon, chashka"
customer,n.,A1,"mijoz, xaridor"
cut,v.,A1,"kesmoq, qirqmoq"
dad,n.,A1,dada
dance,"n., v.",A1,raqs; raqsga tushmoq
dancer,n.,A1,raqqos(a)
dancing,n.,A1,raqsga tushish
dangerous,adj.,A1,"xavfli, xatarli"
dark,adj.,A1,qorong'i
date,n.,A1,sana
daughter,n.,A1,qiz farzand
day,n.,A1,kun
dear,adj.,A1,"qadrdon, qadrli"
December,n.,A1,dekabr
decide,v.,A1,qaror qilmoq
delicious,adj.,A1,mazali
describe,v.,A1,tasvirlamoq
description,n.,A1,tasvir
design,"n., v.",A1,dizayn; dizayn qilmoq
desk,n.,A1,parta
detail,n.,A1,"tavsilot, ikir-chikir"
dialogue,n.,A1,"dialog, suhbat"
dictionary,n.,A1,lug'at
die,v.,A1,o'lmoq
diet,n.,A1,"ratsion, dieta"
difference,n.,A1,farq
different,adj.,A1,"har xil, turli, farqli"
difficult,adj.,A1,qiyin
dinner,n.,A1,kechki ovqat
dirty,adj.,A1,"kir, iflos"
discuss,v.,A1,muhokama qilmoq
dish,n.,A1,idish-tovoq
do,"v., auxiliary v.",A1,qilmoq
doctor,n.,A1,shifokor
dog,n.,A1,"it, kuchuk"
dollar,n.,A1,dollar
door,n.,A1,eshik
down,"adv., prep.",A1,past(ga)
downstairs,adv.,A1,pastki qavat(da)/(ga)
draw,v.,A1,chizmoq
dress,"n., v.",A1,ko'ylak; kiyinmoq
drink,"n., v.",A1,ichimlik; ichmoq
drive,v.,A1,(mashina) haydamoq
driver,n.,A1,haydovchi
during,prep.,A1,"mobaynida, paytida"
DVD,n.,A1,DVD disk
each,det./pron./adv.,A1,"har bir, har biri"
ear,n.,A1,quloq
early,"adj., adv.",A1,erta
east,"n., adj., adv.",A1,sharq(qa)
easy,adj.,A1,oson
eat,v.,A1,yemoq
egg,n.,A1,tuxum
eight,number,A1,sakkiz
eighteen,number,A1,o'n sakkiz
eighty,number,A1,sakson
elephant,n.,A1,fil
eleven,number,A1,o'n bir
else,adv.,A1,"boshqa, boshqa bir"
email,"n., v.",A1,email; email yozmoq
end,"n., v.",A1,oxiri; tugatmoq
enjoy,v.,A1,"rohatlanmoq, lazzatlanmoq"
enough,"det., pron., adv.",A1,"yetarli, yetarlicha"
euro,n.,A1,yevro
even,adv.,A1,"hatto, hattoki"
evening,n.,A1,"kecha, peshin"
event,n.,A1,"voqea, hodisa, tadbir"
ever,adv.,A1,hech
every,det.,A1,har bir
everybody,pron.,A1,hamma
everyone,pron.,A1,hamma
everything,pron.,A1,hamma narsa
exam,n.,A1,imtihon
example,n.,A1,namuna
excited,adj.,A1,"zavqlangan, hayajonda"
exciting,adj.,A1,"zavqli, hayajonli"
exercise,"n., v.",A1,mashq; mashq qilmoq
expensive,adj.,A1,qimmat
explain,v.,A1,tushuntirmoq
extra,adj.,A1,qo'shimcha
eye,n.,A1,ko'z
face,n.,A1,"yuz, chehra"
fact,n.,A1,"fakt, aniq ma'lumot"
fall,"v., n.",A1,"qulamoq, yiqilmoq; qulash"
false,adj.,A1,"xato, noto'g'ri"
family,"n., adj.",A1,oila; oilaviy
famous,adj.,A1,"mashhur, taniqli"
fantastic,adj.,A1,"ajoyib, g'aroyib"
far,adv.,A1,"uzoqda, yiroqda"
farm,n.,A1,ferma
farmer,n.,A1,fermer
fast,"adj., adv.",A1,"tez, chaqqon; tezlik bilan"
fat,adj.,A1,"semiz, baqaloq"
father,n.,A1,ota
favorite,"adj., n.",A1,sevimli; yoqtiradigani
February,n.,A1,fevral
feel,v.,A1,his qilmoq
feeling,n.,A1,"his-tuyg'u, hissiyot"
festival,n.,A1,"festival, bayram"
few,"det./adj., pron.",A1,"kam, bir nechta"
fifteen,number,A1,o'n besh
fifth,number,A1,beshinchi
fifty,number,A1,ellik
fill,v.,A1,to'ldirmoq
final,adj.,A1,"so'nggi, oxirgi"
find,v.,A1,topmoq
fine,adj.,A1,"yaxshi, o'rtacha"
finish,v.,A1,tugatmoq
fire,n.,A1,"olov, yong'in"
first,"det./number, adv.",A1,birinchi
fish,n.,A1,baliq
five,number,A1,besh
flight,n.,A1,"parvoz, uchish"
floor,n.,A1,pol
flower,n.,A1,gul
fly,v.,A1,uchmoq
follow,v.,A1,"ergashmoq, ortidan yurmoq"
food,n.,A1,oziq-ovqat
foot,n.,A1,oyoq
football,n.,A1,futbol
for,prep.,A1,uchun
forget,v.,A1,unutmoq
form,"n., v.",A1,"shakl, forma; shakllantirmoq"
forty,number,A1,qirq
four,number,A1,to'rt
fourteen,number,A1,o'n to'rt
fourth,number,A1,to'rtinchi
free,adj.,A1,"bo'sh, erkin"
Friday,n.,A1,juma
friend,n.,A1,do'st
friendly,adj.,A1,"do'stona, muloyim"
from,prep.,A1,"…dan, …lik"
front,"n., adj.",A1,old tomon; oldingi
fruit,n.,A1,meva
full,adj.,A1,"to'liq, to'la"
fun,n.,A1,"maza, lazzat"
funny,adj.,A1,"quvnoq, kulgili"
future,n.,A1,kelajak
game,n.,A1,o'yin
garden,n.,A1,bog'
geography,n.,A1,geografiya
get,v.,A1,"olmoq, ega bo'lmoq"
girl,n.,A1,qiz
girlfriend,n.,A1,xushtor qiz
give,v.,A1,bermoq
glass,n.,A1,shisha
go,v.,A1,bormoq
good,adj.,A1,yaxshi
goodbye,exclam./n.,A1,xayr
grandfather,n.,A1,bobo
grandmother,n.,A1,buvi
grandparent,n.,A1,bobo-buvi
gray,"adj., n.",A1,kulrang
great,adj.,A1,"ajoyib, zo'r"
green,"adj., n.",A1,yashil
group,n.,A1,guruh
grow,v.,A1,"o'smoq, ulg'aymoq"
guess,"v., n.",A1,tahmin qilmoq; tahmin
guitar,n.,A1,gitara
gym,n.,A1,sport zali
hair,n.,A1,soch
half,"n., det./pron.",A1,yarim; yarmi
hand,n.,A1,qo'l (kaft qismi)
happen,v.,A1,sodir bo'lmoq
happy,adj.,A1,"xursand, baxtli"
hard,"adj., adv.",A1,"qattiq, og'ir"
hat,n.,A1,shlyapa
hate,v.,A1,nafratlanmoq
have,v.,A1,ega bo'lmoq
have to,modal v.,A1,…qilishga majbur
he,pron.,A1,u (erkak kishiga nisbatan)
head,n.,A1,bosh
health,n.,A1,sog'lik
healthy,adj.,A1,sog'lom
hear,v.,A1,eshitmoq
hello,exclam./n.,A1,salom; alo
help,"v., n.",A1,yordam bermoq; yordam
her,"pron., det.",A1,"uning, unga (ayol kishiga nisbatan)"
here,adv.,A1,bu yer(da)/(ga)
hey,exclam.,A1,hoy; salom
hi,exclam.,A1,salom
high,adj.,A1,baland
him,pron.,A1,"uni, unga (erkak kishiga nisbatan)"
his,det.,A1,"uning, uniki (erkak kishiga nisbatan)"
history,n.,A1,"tarix, o'tmish"
hobby,n.,A1,xobbi
home,"n., adv.",A1,uy(da)/(ga)
homework,n.,A1,uyga vazifa
hope,v.,A1,umid qilmoq
horse,n.,A1,ot (hayvon)
hospital,n.,A1,kasalxona
hot,adj.,A1,issiq
hotel,n.,A1,mehmonxona
hour,n.,A1,soat
house,n.,A1,uy
how,adv.,A1,"qanday, qanday qilib"
however,adv.,A1,"ammo, biroq"
hundred,number,A1,yuz
hungry,adj.,A1,"och, qorni ochqagan"
husband,n.,A1,"er, umr yo'ldosh"
I,pron.,A1,men
ice,n.,A1,muz
ice cream,n.,A1,muzqaymoq
idea,n.,A1,"g'oya, fikr"
if,conj.,A1,agar
imagine,v.,A1,tasavvur qilmoq
important,adj.,A1,"muhim, zarur"
improve,v.,A1,yaxshilamoq
in,"prep., adv.",A1,(ichi)da
include,v.,A1,o'z ichiga olmoq
information,n.,A1,ma'lumot
interest,"n., v.",A1,qiziqish; qiziqtirmoq
interested,adj.,A1,qiziqqan
interesting,adj.,A1,qiziqarli
internet,n.,A1,internet
interview,"n., v.",A1,"intervyu, suhbat; suhbat qilmoq"
into,prep.,A1,(ichi)ga
introduce,v.,A1,tanishtirmoq
island,n.,A1,orol
it,pron.,A1,u (narsa va hayvonlarga nisbatan)
its,det.,A1,uning (narsa va hayvonlarga nisbatan)
jacket,n.,A1,"kurtka, kamzul"
January,n.,A1,yanvar
jeans,n.,A1,jinsi shim
job,n.,A1,kasb
join,v.,A1,qo'shilmoq
juice,n.,A1,sharbat
July,n.,A1,iyul
June,n.,A1,iyun
just,adv.,A1,shunchaki; faqat
keep,v.,A1,saqlamoq
key,"n., adj.",A1,kalit
kind,n.,A1,"tur, xil, nav"
kitchen,n.,A1,oshxona
know,v.,A1,bilmoq
land,n.,A1,"yer, quruqlik"
language,n.,A1,til
large,adj.,A1,"ulkan, bahaybat"
last,adj.,A1,"so'nggi, oxirgi"
late,"adj., adv.",A1,kech; kechikib
later,adv.,A1,"keyinroq, so'ng"
laugh,"v., n.",A1,kulmoq; kulgi
learn,v.,A1,o'rganmoq
leave,v.,A1,tark etmoq
left,"adj., adv., n.",A1,qolgan(i); chap
leg,n.,A1,oyoq
lesson,n.,A1,"dars, saboq"
let,v.,A1,ruxsat bermoq
letter,n.,A1,"xat, maktub"
library,n.,A1,kutubxona
lie,v.,A1,yotmoq
life,n.,A1,"hayot, umr"
light,"n., adj.",A1,yorug'lik; yorug'
like,prep.,A1,"kabi, o'xshash"
like,v.,A1,yoqtirmoq
line,n.,A1,"chiziq, qator"
lion,n.,A1,sher
list,"n., v.",A1,ro'yxat; ro'yxat qilmoq
listen,v.,A1,tinglamoq
little,"adj., det./pron.",A1,kichik; biroz; kam
live,v.,A1,yashamoq
local,adj.,A1,"mahalliy, shu yerlik"
long,"adj., adv.",A1,uzoq (vaqt)
look,v.,A1,qaramoq
lose,v.,A1,yo'qotmoq
lot,"pron., det., adv.",A1,ko'p
love,"n., v.",A1,sevgi; sevmoq
lunch,n.,A1,tushlik
machine,n.,A1,mashina
magazine,n.,A1,jurnal
main,adj.,A1,asosiy
make,v.,A1,tayyorlamoq
mall,n.,A1,supermarket
man,n.,A1,erkak kishi
many,det./pron.,A1,ko'p
map,n.,A1,xarita
March,n.,A1,mart
market,n.,A1,bozor
married,adj.,A1,"uylangan, turmushga chiqqan"
match,"n., v.",A1,o'yin; mos kelmoq
May,n.,A1,may (oyi)
maybe,adv.,A1,"balki, ehtimol"
me,pron.,A1,"meni, menga"
meal,n.,A1,"taom, ovqat"
mean,v.,A1,anglatmoq
meaning,n.,A1,ma'no
meat,n.,A1,go'sht
meet,v.,A1,"uchrashmoq, uchratmoq"
meeting,n.,A1,"uchrashuv, majlis"
member,n.,A1,a'zo
menu,n.,A1,menyu
message,n.,A1,xabar
meter,n.,A1,metr
midnight,n.,A1,yarim tun
mile,n.,A1,mil
milk,n.,A1,sut
million,number,A1,million
minute,n.,A1,daqiqa
miss,v.,A1,o'tkazib yubormoq
mistake,n.,A1,"xato, xatolik"
model,n.,A1,"model, namuna"
modern,adj.,A1,zamonaviy
mom,n.,A1,"oyi, ona"
moment,n.,A1,lahza
Monday,n.,A1,dushanba
money,n.,A1,pul
month,n.,A1,oy (yildagi 12 oy)
more,"det./pron., adv.",A1,ko'proq
morning,n.,A1,"tong, ertalab"
most,"det./pron., adv.",A1,asosiy; eng
mother,n.,A1,ona
mountain,n.,A1,tog'
mouse,n.,A1,sichqon
mouth,n.,A1,og'iz
move,v.,A1,"harakatlanmoq, qimirlamoq"
movie,n.,A1,"kino, film"
much,"det./pron., adv.",A1,ko'p
museum,n.,A1,muzey
music,n.,A1,musiqa
must,modal v.,A1,…qilishi kerak
my,det.,A1,mening
name,"n., v.",A1,"ism, nom; nome bermoq"
natural,adj.,A1,tabiiy
near,"prep., adj., adv.",A1,"yonida, yaqinida"
need,v.,A1,muhtoj bo'lmoq
negative,adj.,A1,salbiy
neighbor,n.,A1,qo'shni
neighborhood,n.,A1,mahalla
never,adv.,A1,hech qachon
new,adj.,A1,yangi
news,n.,A1,"yangilik, yangiliklar"
newspaper,n.,A1,gazeta
next,"adj., adv.",A1,keyingi
next to,prep.,A1,"yonida, yon tarafida"
nice,adj.,A1,"ajoyib, juda yaxshi"
night,n.,A1,tun
nine,number,A1,to'qqiz
nineteen,number,A1,o'n to'qqiz
ninety,number,A1,to'qson
no,"exclam., det.",A1,yo'q
no one,pron.,A1,hech kim
nobody,pron.,A1,hech kim
north,"n., adj., adv.",A1,shimol(da)/(ga)
nose,n.,A1,burun
not,adv.,A1,emas
note,n.,A1,"yozuv, xat"
nothing,pron.,A1,hech nima
November,n.,A1,noyabr
now,adv.,A1,hozir
number,n.,A1,raqam
nurse,n.,A1,hamshira
object,n.,A1,"buyum, narsa"
ocean,n.,A1,okean
o'clock,adv.,A1,soat
October,n.,A1,oktabr
of,prep.,A1,…ning; …dan
off,"adv., prep.",A1,…dan uzoqda
office,n.,A1,"ofis, idora"
often,adv.,A1,tez-tez
oh,exclam.,A1,o
OK,"exclam., adj./adv.",A1,ho'p; yaxshi
old,adj.,A1,"eski, qari"
on,"prep., adv.",A1,(usti)da
once,adv.,A1,bir marta
one,"number/det., pron.",A1,bir
onion,n.,A1,piyoz
online,"adj., adv.",A1,onlayn
only,"adj., adv.",A1,yagona; faqat
open,"adj., v.",A1,ochiq; ochmoq
opinion,n.,A1,"fikr, g'oya"
opposite,"adj., n., prep., adv.",A1,qarama-qarshi
or,conj.,A1,yoki
orange,"n., adj.",A1,apelsin; olov rang
order,"n., v.",A1,buyurtma; buyurtma bermoq
other,adj./pron.,A1,boshqa
our,det.,A1,bizning
out,adv./prep.,A1,tashqari(ga)/(da)
outside,adv.,A1,tashqari(ga)/(da)
over,"prep., adv.",A1,…bo'ylab
own,adj./pron.,A1,shaxsiy; o'ziniki
page,n.,A1,sahifa
paint,"v., n.",A1,bo'yamoq; bo'yoq
painting,n.,A1,surat
pair,n.,A1,juft
pants,n.,A1,shim
paper,n.,A1,qog'oz
paragraph,n.,A1,"paragraf, matn"
parent,n.,A1,ota yoki ona
park,"n., v.",A1,park; mashinani joylamoq
part,n.,A1,"qism, bo'lak"
partner,n.,A1,sherik
party,n.,A1,ziyofat
passport,n.,A1,pasport
past,"adj., n., prep.",A1,o'tgan; o'tmish
pay,v.,A1,to'lamoq
pen,n.,A1,ruchka
pencil,n.,A1,qalam
people,n.,A1,odamlar
pepper,n.,A1,"murch, qalampir"
perfect,adj.,A1,"mukammal, bexato"
period,n.,A1,"davr, payt"
person,n.,A1,"odam, shaxs"
personal,adj.,A1,shaxsiy
phone,"n., v.",A1,telefon; qo'ng'iroq qilmoq
photo,n.,A1,"rasm, surat"
photograph,n.,A1,"rasm, surat"
phrase,n.,A1,"so'zlar birikmasi, ibora"
piano,n.,A1,pianino
picture,n.,A1,"surat, rasm"
piece,n.,A1,"bo'lak, parcha"
pig,n.,A1,cho'chqa
pink,"adj., n.",A1,pushti; pushtirang
place,n.,A1,"joy, makon"
plan,"n., v.",A1,reja; rejalashtirmoq
plane,n.,A1,samolyot
plant,n.,A1,o'simlik
play,"v., n.",A1,o'ynamoq; chalmoq; pyessa
player,n.,A1,o'yinchi
please,exclam.,A1,iltimos; marhamat
point,n.,A1,"fikr, nuqtai nazar"
police,n.,A1,politsiya
policeman,n.,A1,politsiyachi
pool,n.,A1,"suv havzasi, basseyn"
poor,adj.,A1,kambag'al; bechora
popular,adj.,A1,"mashhur, taniqli"
positive,adj.,A1,ijobiy
possible,adj.,A1,iloji bor
post,"n., v.",A1,"yo'llanma, post; yo'llamoq"
potato,n.,A1,kartoshka
pound,n.,A1,funt
practice,"n., v.",A1,mashq; mashq qilmoq
prefer,v.,A1,afzal ko'rmoq
prepare,v.,A1,tayyorlamoq
present,"adj., n.",A1,"mavjud, bor; sovg'a"
pretty,"adj., adv.",A1,"chiroyli, go'zal; ancha"
price,n.,A1,narx
probably,adv.,A1,"ehtimol, balki"
problem,n.,A1,muammo
product,n.,A1,mahsulot
program,n.,A1,"dastur, reja"
project,n.,A1,loyiha
purple,"adj., n.",A1,binafsharang
put,v.,A1,qo'ymoq
quarter,n.,A1,"chorak, to'rtdan biri"
question,n.,A1,savol
quick,adj.,A1,"tez, chaqqon"
quickly,adv.,A1,"tez, tezlik bilan"
quiet,adj.,A1,"sokin, jim"
quite,adv.,A1,ancha; biroz
radio,n.,A1,radio
rain,"n., v.",A1,yomg'ir; yomg'ir yog'moq
read,v.,A1,o'qimoq
reader,n.,A1,"o'quvchi, kitobxon"
reading,n.,A1,o'qish
ready,adj.,A1,tayyor
real,adj.,A1,haqiqiy
really,adv.,A1,"haqiqatan, judayam"
reason,n.,A1,sabab
red,"adj., n.",A1,"qizil, qizilrang"
relax,v.,A1,"hordiq chiqarmoq, dam olmoq"
remember,v.,A1,eslamoq
repeat,v.,A1,takrorlamoq
report,n.,A1,"bayonet, bayonnoma"
restaurant,n.,A1,restoran
result,n.,A1,natija
return,"v., n.",A1,"qaytarib bermoq, qaytmoq; qaytim"
rice,n.,A1,guruch
rich,adj.,A1,"boy, boy-badavlat"
ride,v.,A1,minmoq
right,"adj., adv., n.",A1,to'g'ri; o'ngga; o'ng tomon
river,n.,A1,daryo
road,n.,A1,yo'l
room,n.,A1,xona
routine,n.,A1,odat
rule,n.,A1,qoida
run,v.,A1,yugurmoq
sad,adj.,A1,"xafa, g'amgin"
salad,n.,A1,salat
salt,n.,A1,tuz
same,"adj., pron., adv.",A1,bir xil
sandwich,n.,A1,"sendvich, buterbrod"
Saturday,n.,A1,shanba
say,v.,A1,"demoq, aytmoq"
school,n.,A1,maktab
science,n.,A1,ilm-fan
scientist,n.,A1,olim
second,det./number,A1,ikkinchi
second,n.,A1,soniya
section,n.,A1,"qism, bo'lim"
see,v.,A1,ko'rmoq
sell,v.,A1,sotmoq
send,v.,A1,jo'natmoq
sentence,n.,A1,"gap, jumla"
September,n.,A1,sentabr
seven,number,A1,yetti
seventeen,number,A1,o'n yetti
seventy,number,A1,yetmish
share,v.,A1,"ulashmoq, bo'lishmoq"
she,pron.,A1,u (ayol kishiga nisbatan)
sheep,n.,A1,qo'y
shirt,n.,A1,ko'ylak
shoe,n.,A1,oyoq kiyim
shop,"n., v.",A1,do'kon; xarid qilmoq
shopping,n.,A1,"xarid, xarid qilish"
short,adj.,A1,"kalta, qisqa"
should,modal v.,A1,"…kerak, lozim"
show,"v., n.",A1,ko'rsatmoq; ko'rsatuv
shower,n.,A1,dush
sick,adj.,A1,"kasal, betob"
similar,adj.,A1,"o'xshash, bir xil"
sing,v.,A1,"kuylamoq, qo'shiq aytmoq"
singer,n.,A1,qo'shiqchi
sister,n.,A1,"opa, singil"
sit,v.,A1,o'tirmoq
situation,n.,A1,vaziyat
six,number,A1,olti
sixteen,number,A1,o'n olti
sixty,number,A1,oltmish
skill,n.,A1,"mahorat, qobiliyat"
skirt,n.,A1,yubka
sleep,v.,A1,uxlamoq
slow,adj.,A1,"sekin, asta"
small,adj.,A1,"kichik, kichkina"
smart,adj.,A1,aqlli
snake,n.,A1,ilon
snow,"n., v.",A1,qor; qor yog'moq
so,"adv., conj.",A1,shunchalik; shuning uchun
some,"det., pron.",A1,ba'zi; qandaydir
somebody,pron.,A1,"kimdir, birov"
someone,pron.,A1,"kimdir, birov"
something,pron.,A1,"nimadir, biron nima"
sometimes,adv.,A1,"ba'zan, ba'zida"
son,n.,A1,o'g'il farzand
song,n.,A1,"ashula, qo'shiq"
soon,adv.,A1,tez kunda
sorry,"adj., exclam.",A1,afsusda; uzr
sound,"n., v.",A1,"ovoz, tovush; eshitilmoq"
soup,n.,A1,sho'rva
south,"n., adj., adv.",A1,janub(da)/(ga)
space,n.,A1,"bo'sh joy, makon"
speak,v.,A1,gapirmoq
special,adj.,A1,maxsus
spell,v.,A1,harflab aytmoq
spelling,n.,A1,harflab aytish
spend,v.,A1,sarflamoq
sport,n.,A1,sport
spring,n.,A1,bahor
stand,v.,A1,"turmoq, tik turmoq"
star,n.,A1,yulduz
start,v.,A1,boshlamoq
statement,n.,A1,"jumla, bayonot"
station,n.,A1,bekat
stay,v.,A1,"qolmoq, tunamoq"
still,adv.,A1,"haliyam, haligacha"
stop,"v., n.",A1,to'xtamoq; to'xtash joyi
store,n.,A1,do'kon
story,n.,A1,"ertak, hikoya"
street,n.,A1,ko'cha
strong,adj.,A1,kuchli
student,n.,A1,"talaba, o'quvchi"
study,"n., v.",A1,o'qish; o'qimoq
style,n.,A1,"stil, uslub"
subject,n.,A1,fan
success,n.,A1,muvaffaqiyat
sugar,n.,A1,shakar
summer,n.,A1,yoz fasli
sun,n.,A1,quyosh
Sunday,n.,A1,yakshanba
supermarket,n.,A1,supermarket
sure,adj.,A1,amin
sweater,n.,A1,"sviter, jemper"
swim,v.,A1,suzmoq
swimming,n.,A1,suzish
table,n.,A1,stol; jadval
take,v.,A1,olmoq
talk,v.,A1,gaplashmoq
tall,adj.,A1,baland (bo'yli)
taxi,n.,A1,taksi
tea,n.,A1,choy
teach,v.,A1,"o'rgatmoq, o'qitmoq"
teacher,n.,A1,o'qituvchi
team,n.,A1,jamoa
teenager,n.,A1,"o'smir, o'spirin"
telephone,"n., v.",A1,telefon; qo'ng'iroq qilmoq
television,n.,A1,"televidenye, televizor"
tell,v.,A1,"aytib bermoq, aytmoq"
ten,number,A1,o'n
tennis,n.,A1,tennis
terrible,adj.,A1,"daxshatli, juda yomon"
test,"n., v.",A1,"test, sinov; sinab ko'rmoq"
text,n.,A1,matn
than,conj.,A1,…ga qaraganda
thank,v.,A1,tashakkur bildirmoq
thanks,"exclam., n.",A1,rahmat
that,"det., pron., conj.",A1,"anavi, u"
